ox,oy,oz,h1x,h1y,h1z,h2x,h2y,h2z
4.537,-0.033,10.549,4.617,0.771,9.982,3.583,0.008,10.865
5.229,7.319,-11.851,5.450,6.415,-11.597,4.290,7.286,-11.919
-0.628,9.795,7.693,-0.452,10.700,7.427,0.056,9.644,8.403
6.273,-4.733,-12.527,5.854,-4.876,-13.413,6.652,-3.853,-12.662
-10.553,-1.436,11.362,-11.318,-2.057,11.197,-11.077,-0.655,11.413
4.598,8.884,-2.437,5.029,8.873,-3.298,3.729,9.179,-2.539
-2.511,-8.069,2.387,-3.261,-8.547,1.915,-1.827,-8.627,2.076
3.946,-7.721,13.733,4.250,-7.704,14.628,4.755,-8.072,13.352
8.608,-5.058,5.253,8.618,-4.094,5.436,8.194,-5.105,4.416
-4.661,1.092,-12.998,-5.558,0.802,-12.750,-4.140,1.264,-12.185
-10.130,-2.895,-10.296,-9.199,-3.148,-10.437,-10.430,-3.293,-11.163
6.593,-4.665,-7.610,6.179,-3.813,-7.792,6.953,-4.537,-6.715
-1.579,-2.139,2.315,-2.215,-2.445,1.560,-1.252,-1.437,1.767
1.142,-7.550,-9.229,1.665,-8.373,-9.391,1.347,-7.119,-10.096
3.934,11.543,-10.990,3.208,11.579,-11.633,3.766,12.391,-10.510
-6.984,-3.470,0.261,-6.192,-3.036,-0.017,-6.844,-4.352,-0.058
12.457,-4.715,-12.160,12.840,-5.533,-11.831,11.967,-5.116,-12.916
-0.247,10.243,-4.198,0.427,10.943,-4.239,-1.007,10.742,-3.831
-9.428,2.604,12.878,-8.835,2.346,12.134,-9.495,3.561,12.696
-3.581,-1.915,4.253,-3.612,-0.948,4.362,-2.844,-2.017,3.661
8.848,2.664,-1.582,9.104,3.588,-1.823,9.253,2.579,-0.723
5.095,9.114,-5.164,4.937,9.890,-5.680,4.577,8.469,-5.683
1.869,-7.897,-6.435,1.079,-8.258,-6.891,2.228,-7.216,-7.047
