ox,oy,oz,h1x,h1y,h1z,h2x,h2y,h2z
-1.754,-3.246,-2.984,-1.747,-3.865,-3.758,-0.969,-3.475,-2.492
7.500,1.170,6.660,8.311,1.603,6.378,7.924,0.629,7.358
3.447,2.669,-9.467,2.911,2.000,-9.924,4.166,2.082,-9.195
1.462,-0.939,0.413,2.295,-0.496,0.094,1.713,-1.846,0.369
4.279,-5.183,12.517,3.464,-4.763,12.636,3.820,-6.058,12.505
0.044,7.926,-6.207,-0.769,7.838,-6.806,-0.243,8.593,-5.687
1.927,-0.285,-6.663,1.401,-0.139,-5.895,2.679,0.244,-6.365
-3.140,-7.797,-1.510,-2.246,-8.041,-1.561,-3.086,-7.049,-0.915
-9.075,2.051,5.183,-9.474,1.479,5.786,-9.638,1.851,4.339
-2.297,-3.423,12.332,-1.937,-3.825,13.170,-3.091,-2.924,12.686
-1.025,6.569,1.885,-0.494,6.388,2.638,-1.731,5.958,2.033
-0.640,-1.567,-4.793,-0.929,-2.379,-5.225,-0.917,-1.781,-3.847
-4.550,0.605,5.519,-4.022,0.436,6.318,-5.357,0.929,5.895
-1.818,3.195,9.980,-2.199,3.061,10.849,-1.355,4.077,9.926
10.641,-2.781,-11.365,11.273,-3.543,-11.552,11.140,-2.000,-11.653
5.534,3.455,11.976,5.219,3.852,12.805,5.934,2.654,12.238
-0.279,-7.548,-0.589,-0.342,-7.041,0.168,0.398,-7.128,-1.069
6.120,9.798,-10.913,5.273,10.264,-10.969,5.872,8.914,-11.286
-3.248,2.290,-5.356,-2.534,2.270,-4.644,-3.896,2.878,-4.904
-4.385,12.517,1.270,-3.840,11.826,0.984,-5.271,12.270,0.951
-5.131,-4.111,4.309,-5.723,-3.864,5.071,-4.715,-3.246,4.192
-1.388,5.908,9.727,-2.083,6.472,9.359,-0.761,6.554,10.135
1.228,6.743,11.027,1.208,5.895,11.513,2.183,6.674,10.859
3.561,10.597,10.436,3.733,11.226,9.722,4.368,10.038,10.390
8.448,-0.199,9.060,8.111,0.490,9.727,9.355,0.017,8.923
6.699,-1.740,10.815,5.822,-1.260,10.616,7.322,-1.136,10.293
9.399,-4.292,13.864,8.888,-3.455,13.737,9.825,-4.136,14.717
4.108,0.765,-5.516,4.219,1.682,-5.690,4.759,0.587,-4.829
10.903,0.023,11.867,10.679,0.157,10.956,10.147,0.416,12.347
-10.000,5.736,12.620,-10.033,6.536,13.190,-9.121,5.753,12.323
-0.210,2.856,13.898,-0.810,3.405,14.397,-0.672,1.975,13.871
0.436,-9.387,-3.904,-0.112,-8.873,-4.596,1.169,-8.784,-3.754
12.396,-9.142,12.953,12.201,-9.240,13.876,11.605,-9.420,12.548
-7.520,3.892,3.435,-7.240,3.241,2.714,-7.646,3.337,4.208
9.532,-8.279,-3.006,8.914,-8.635,-3.663,9.190,-8.753,-2.269
-4.892,7.518,12.766,-4.017,7.152,12.918,-4.721,8.117,12.063
-9.569,2.061,-1.752,-10.330,1.752,-2.380,-10.121,2.796,-1.384
-9.853,7.735,1.781,-10.148,7.077,2.373,-8.905,7.991,2.075
5.201,4.512,-11.215,6.183,4.282,-11.367,4.947,4.121,-10.391
-2.737,11.659,-4.562,-3.601,12.134,-4.632,-3.024,10.792,-4.330
3.369,3.504,-1.644,2.986,3.771,-0.833,4.249,3.994,-1.578
5.886,12.430,2.340,5.613,13.108,1.771,5.006,12.090,2.546
12.136,9.793,-12.661,12.187,10.636,-12.116,11.217,9.747,-12.829
-7.953,-7.744,-6.075,-7.116,-8.031,-5.870,-8.489,-8.527,-6.052
11.787,-6.758,9.822,11.871,-6.344,10.689,10.857,-7.020,9.824
6.678,-7.937,-0.844,6.973,-6.979,-0.737,5.783,-7.950,-0.595
-4.331,-1.640,13.098,-4.968,-2.313,13.436,-4.539,-0.865,13.662
-5.429,-5.849,-1.110,-5.213,-5.225,-1.857,-4.533,-5.716,-0.739
3.656,7.648,6.925,4.272,8.123,6.365,2.802,7.770,6.475
-7.233,12.498,-3.657,-6.616,12.963,-3.058,-8.126,12.805,-3.362
-0.702,0.616,0.484,0.241,0.268,0.325,-0.490,1.403,0.974
2.784,3.993,-12.346,3.610,4.247,-11.876,2.204,3.755,-11.602
7.001,10.794,12.411,6.929,11.004,11.472,7.224,11.710,12.831
9.449,9.587,8.385,8.717,8.952,8.146,9.937,9.641,7.574
12.436,6.903,-0.648,12.732,7.361,0.147,11.491,7.128,-0.491
-1.320,-8.141,-5.559,-1.862,-8.982,-5.560,-1.997,-7.454,-5.681
12.378,-7.163,-6.918,11.512,-7.350,-7.355,12.109,-7.392,-6.065
-6.852,1.313,6.826,-7.493,1.668,6.104,-7.253,1.660,7.623
-10.728,9.630,-8.920,-10.845,8.849,-9.433,-9.767,9.827,-8.926
9.557,2.279,0.848,10.309,2.770,1.251,9.377,1.621,1.510
10.777,8.841,6.019,11.645,8.728,5.642,10.398,7.847,6.109
11.609,3.212,10.076,11.272,3.520,10.894,12.474,3.580,9.976
-6.304,0.912,-9.674,-6.822,0.271,-9.078,-6.731,0.803,-10.568
2.432,-9.041,8.374,1.676,-8.697,7.962,2.402,-9.966,8.028
5.803,8.311,12.254,5.403,8.261,13.167,6.165,9.231,12.300
1.845,2.595,6.412,1.333,1.905,6.017,1.235,2.947,7.047
4.356,9.331,4.459,4.478,8.839,3.631,3.728,10.012,4.129
-3.466,1.060,-10.351,-3.191,1.098,-9.418,-4.356,0.630,-10.209
1.702,-2.331,10.427,1.033,-2.981,10.150,2.269,-2.311,9.622
-3.028,0.306,-0.862,-2.707,0.765,-0.069,-2.234,-0.069,-1.201
-0.597,5.080,-4.180,0.116,4.460,-3.898,-0.086,5.869,-4.532
11.666,6.174,-4.582,11.596,6.679,-5.443,11.625,6.888,-3.901
6.055,7.832,-8.286,6.469,8.288,-7.534,5.366,8.504,-8.633
1.976,-7.499,10.600,2.552,-6.777,10.255,2.286,-8.241,10.121
-0.776,-4.885,2.382,-0.884,-3.950,2.463,-1.289,-5.259,3.202
-2.575,8.456,10.031,-2.129,9.104,9.453,-3.420,8.866,10.144
-1.494,-6.624,-10.059,-0.551,-6.779,-9.983,-1.570,-6.721,-11.023
-10.824,4.223,-1.034,-10.580,5.179,-1.027,-11.756,4.229,-1.284
11.104,4.676,12.414,10.563,5.447,12.573,11.985,5.128,12.551
-8.016,7.657,-3.928,-7.670,8.340,-4.532,-7.211,7.136,-3.775
8.866,-9.642,-0.732,8.074,-8.974,-0.626,9.576,-9.226,-0.267
3.825,5.105,0.511,3.885,6.027,0.178,4.440,5.169,1.247
2.366,9.956,12.898,1.903,10.702,13.263,2.808,10.343,12.139
3.564,-5.880,8.589,4.031,-5.193,9.114,4.256,-6.053,7.876
1.991,-9.566,12.844,1.402,-8.863,12.397,2.817,-9.081,13.030
-4.384,-4.834,-5.265,-4.578,-4.251,-4.462,-5.225,-4.830,-5.772
7.937,4.361,-11.531,8.606,3.716,-11.436,8.482,5.124,-11.779
9.577,-5.651,-3.647,9.510,-6.618,-3.453,10.121,-5.456,-2.836
-10.459,1.894,2.868,-11.334,1.477,2.948,-10.719,2.716,2.401
